titulo,parrafo
St Donat's Castle,"['\n\n\n', ' (', ': ', '), ', ', ', ', is a ', ' ', ' in the ', ', about 16 miles (26\xa0km) to the west of ', ', and about ', ' miles (2.4\xa0km) to the west of ', '. Positioned on cliffs overlooking the ', ', the site has been occupied since the ', ', and was by tradition the home of the Celtic chieftain ', "". The present castle's origins date from the 12th century when the de Haweys and later "", ' began its development. The Stradlings held the castle for four hundred years, until the death of Sir Thomas Stradling in a duel in 1738.\n', ""During the 18th century, the castle's status and condition declined and by the early 19th century it was only partly habitable. The later 19th and early 20th centuries saw several restorations. In 1852, it was purchased by "", "", who claimed descent from the Stradlings but whose efforts at reconstruction were not well regarded. More enlightened improvements were made by its subsequent owner, the coal magnate Morgan Stuart Williams. The castle's transformation occurred after its purchase in 1925 by "", ', the American newspaper tycoon. Hearst undertook a ""brutal""', ' expansion, including the incorporation of elements from other ancient structures such as the roofs of ', ' in Wiltshire and ']"
Stanford Memorial Church,"['\n\n', '\n', ' (also referred to informally as ', ')', ' is located on the ', ' at the center of the ', ' campus in ', ', ', '. It was built during the ', ' by ', ' as a memorial to her husband ', '.  Designed by architect ', ', a student of ', ', the church has been called ""the University\'s architectural crown jewel"".', '\n', 'Designs for the church were submitted to Jane Stanford and the university trustees in 1898, and it was dedicated in 1903.  The building is ', ' in form and ', ' in its details, inspired by churches in the region of ', ', especially, ', '. Its ', ' and extensive ']"
"St Denys' Church, Sleaford","['\n\n', ' is a medieval ', ' ', ' in ', ', ', ', England. While a church and a priest have probably been present in the settlement since approximately 1086, the oldest parts of the present building are the tower and spire, which date to the late 12th and early 13th centuries; the stone ', ' is one of the earliest examples of its kind in England. The ', ' ', "", aisles and north transept were built in the 14th century. The church was altered in the 19th century: the north aisle was rebuilt by the local builders Kirk and Parry in 1853 and the tower and spire were largely rebuilt in 1884 after being struck by lightning. St Denys' remains an active parish church.\n"", 'The church is a ', ', a national designation given to ""buildings of exceptional interest"".', ' It is a prime example of Decorated Gothic church architecture in England, with the architectural historians ', ' and ', ' noting that ""it is a prolonged delight to follow the mason\'s inventiveness"".', "" The church's tracery has attracted special praise, with "", ' arguing that its Decorated windows are ""works of infinite complexity"".', ' Built out of ', "" with a lead roof, St Denys' is furnished with a medieval "", ' and a ', ', possibly by ', "", and has a peal of eight bells, dating to 1796. The church also houses several memorials, including two altar tombs commemorating members of the Carre family, Sleaford's ""]"
"St Botolph's Church, Quarrington","['\n\n', ' is an ', ' place of worship in the village of ', ', part of the ', ' of ', ' in ', ', England. The area has been settled since at least the ', ', and a church existed at Quarrington by the time the ', ' was compiled in 1086, when it formed part of ', ""'s "", '. It was granted to ', ' about 1165, and the Abbey claimed the ', ' in the 13th century. This right was claimed by the ', ' during the ', ' in the early 16th century, and then passed to Robert Carre and his descendants after Carre acquired a manor at Quarrington. With capacity for 124 people, the church serves the ', ' of Quarrington with Old Sleaford and, as of 2009, had an average congregation of 50.\n', 'Recognised for its age and ', ', the church has been designated a grade II* ', '. It has a ', ' and ', ' with a ']"
Sloan–Parker House,"['\n\n\n', 'The ', ', also known as the ', ', ', ', or ', ',', ' is a late-18th-century stone residence near ', ', ', ', in the U.S. state of West Virginia. It was built on land vacated by the ', ' after the Native American nation had been violently forced to move west to Kansas following their defeat at the ', ' in 1774. The building was added to the ', "" on June 5, 1975, becoming Hampshire County's first property to be listed on the register. The Sloan–Parker House has been in the Parker family since 1854. The house and its adjacent farm are located along the "", ' (', '/', ') in the rural ']"
Smythe's Megalith,"['\n\n', ', also known as the ', ', was a ', ' near the village of ', ' in the ', ' English county of ', '. Probably constructed in the ', ', during ', ', it was discovered in 1822, at which point it was dismantled. Built out of earth and at least five local ', ' ', ', the long barrow consisted of a roughly rectangular earthen ', ' with a stone chamber in its eastern end. Human remains were deposited into this chamber.\n', ' have established that the monument was built by ', ' communities shortly after the introduction of ', "" to Britain from continental Europe. Although representing part of an architectural tradition of long barrow building widespread across Neolithic Europe, Smythe's Megalith belonged to a localised regional variant produced in the vicinity of the "", ', now known as the ', '. Several of these still survive: ', ', ', ', and ', "" are on the river's western side, while "", ', the ']"
"St James' Church, Sydney","['\n', '\n\n', ', commonly known as ', ', is an Australian heritage-listed ', ' ', ' located at 173 ', ', in the ', ' of the ', ' local government area of ', '. Consecrated in February 1824 and named in honour of ', ', it became a parish church in 1835. Designed in the style of a ', ' town church by the ', ' architect ', ' during the governorship of ', "", St James' is part of the historical precinct of "", ' which includes other early colonial era buildings such as the ', ' ']"
Shrine of Remembrance,"['\n\n\n', 'The ', ' (commonly referred to as ', ') is a war memorial in ', ', ', ', located in ', ' on ', '. It was built to honour the men and women of ', ' who served in ', ', but now functions as a memorial to all Australians who have served in any war. It is a site of annual observances for ', ' (25 April) and ', ' (11 November), and is one of the largest war memorials in Australia.\n', 'Designed by architects ', ', both World War I veterans, the Shrine is in ', ' style, based on the ', ' at ', ' and the ', ' in ', ', ', '.', ' The crowning element at the top of the ziggurat roof references the ']"
Shorwell helmet,"['\n', '\n\n', 'The ', ' is an ', ' helmet from the early to mid-sixth century AD found near ', ' on the ', ' in southern England. It was one of the grave goods of a high-status ', ', and was found with other objects such as a ', ' sword and ', '. One of only six known Anglo-Saxon helmets, alongside those found at ', ', ', ', ', ', ', ', and ', ', it is the sole example to derive from the continental ', ' style rather than the contemporaneous Northern ""crested helmets"" used in England and ']"
Sissinghurst Castle Garden,"['\n\n', ', at ', ' in the ', ' of ', ' in England, was created by ', ', poet and writer, and her husband ', ', author and diplomat. It is among the most famous gardens in England and is designated Grade I on ', ""'s "", '. It was bought by Sackville-West in 1930, and over the next thirty years, working with, and later succeeded by, a series of notable head gardeners, she and Nicolson transformed a farmstead of ""squalor and slovenly disorder""', "" into one of the world's most influential gardens. Following Sackville-West's death in 1962, the estate was donated to the "", "". It is one of the Trust's most popular properties, with nearly 200,000 visitors in 2017.\n"", 'The gardens contain an internationally respected plant collection, particularly the assemblage of ', '. The writer ', ' considered the roses at Sissinghurst to be ""one of the finest collections in the world"".', ' A number of plants propagated in the gardens bear names related to people connected with Sissinghurst or the name of the garden itself. The ', ' is based on axial walks that open onto enclosed gardens, termed ""', '"", one of the earliest examples of this gardening style. Among the individual ""garden rooms"", the White Garden has been particularly influential, with the horticulturalist ', ' describing it as ""the most ambitious ... of its time, the most entrancing of its type.""', '\n', 'The site of Sissinghurst is ancient and has been occupied since at least the ', '. The present-day buildings began as a house built in the 1530s by ']"
Sicilian Baroque,"['\n', ' is the distinctive form of ', ' which evolved on the island of ', ', off the southern coast of Italy, in the ', ', when it was part of the ', '. The style is recognisable not only by its typical Baroque curves and flourishes, but also by its grinning ', ' and ', ' and a particular flamboyance that has given Sicily a unique architectural identity.\n', 'The Sicilian Baroque style came to fruition during a major surge of rebuilding following the massive ', '. Previously, the Baroque style had been used on the island in a naïve and ', ' manner, having evolved from ', ' native architecture rather than being derived from the great Baroque architects of Rome. After the earthquake, local architects, many of them trained in Rome, were given plentiful opportunities to recreate the more sophisticated Baroque architecture that had become popular in mainland Italy; the work of these local architects – and the new genre of architectural ', ' that they pioneered – inspired more local architects to follow their lead. Around 1730, Sicilian architects had developed a confidence in their use of the Baroque style. Their particular interpretation led to further evolution to a personalised and highly localised art form on the island. From the 1780s onwards, the style was gradually replaced by the newly fashionable ']"
Singer Building,"['\n\n', 'The ', ' (also known as the ', ')', ' was an office building and ', ' in ', ', New York City. The headquarters of the ', ', it was at the northwestern corner of ', ' and ', ' in the ', ' of ', '. ', ', leader of the Singer Company, commissioned the building, which architect ', "" designed in multiple phases from 1897 to 1908. The building's architecture contained elements of the "", ' and ', ' styles.\n', 'The building was composed of four distinct sections. The original 10-story Singer Building at 149\xa0Broadway was erected between 1897 and 1898, and the adjoining 14-story Bourne Building on Liberty Street was built from 1898 to 1899. In the first decade of the 20th\xa0century, the two buildings were expanded to form the 14-story base of the Singer Tower, which rose another 27 stories. The ', ' was made of brick, stone, and ', '. A ', ' with a ', ' capped the tower. The ']"
Santa María de Óvila,"[' is a former ', ' ', ' built in Spain beginning in 1181 on the ', ' near ', ', about 90 miles (140\xa0km) northeast of Madrid. During prosperous times over the next four centuries, construction projects expanded and improved the small monastery. Its fortunes declined significantly in the 18th century, and in 1835 it was confiscated by the Spanish government and sold to private owners who used its buildings to shelter farm animals.\n', 'American publisher ', ' bought parts of the monastery in 1931 with the intention of using its stones in the construction of a grand and fanciful ', ' at ', ', California, but after some 10,000 stones were removed and shipped, they were abandoned in ', ' for decades. These stones are now in various locations around California: the old church ', ' was erected at the ', ', and the ', ' was reassembled by ', ' monks at the ', ' in ', '. Other stones are serving as simple decorative elements in ', ""'s botanical garden. To support the chapter house project, a line of "", ' was produced by ', ' under the Ovila Abbey brand.\n', 'In Spain, the new government of the ', ' declared the monastery a ']"
Seagram Building,"['\n', 'The ', ' is a ', ' at 375 ', ', between ', ' and ', ', in the ', ' neighborhood of ', '. Designed by ', ' with minor assistance from ', ', ', ', and ', ', the tower is 515 feet (157\xa0m) tall with 38 stories. The ', ' building with a public plaza, completed in 1958, initially served as the headquarters of the ', ', a Canadian ']"
Scottish Parliament Building,"['\n\n', 'The ', ' (', ': ', ';', ' ', ': ', ') is the home of the ', ' at ', ', within the ', ' in central ', '.', ' ', ' of the building commenced in June 1999 and the ', ' (MSPs) held their first debate in the new building on 7 September 2004. The formal opening by ', ' took place on 9 October 2004.', ' ', ', the Spanish architect who designed the building, died before its completion.', '\n', 'From 1999 until the opening of the new building in 2004, committee rooms and the ', ' of the Scottish Parliament were housed in the ']"
"Round Church, Preslav","['The ', ' (', ': ', ', ', '), also known as the ', ' (Златна църква, ', ') or the ', ' (църква ""Свети Йоан"", ', '), is a large partially preserved ', ' ', ' church. It lies in ', ', the former capital of the ', ', today a town in northeastern ', '.  The church dates to the early 10th century, the time of ', ' ', ""'s rule, and was unearthed and first archaeologically examined in 1927–1928.\n"", 'Considered to be one of the most impressive examples of medieval Bulgarian architecture, the Round Church takes its name from the distinctive shape of one of its three sections, the ', ' (naos), which is a ', "" that serves as a place of liturgy. The church's design also includes a wide atrium and a rectangular entrance area, or "", ', marked by two circular turrets.\n', 'The church has been likened to examples of religious architecture from the late Roman (']"
Sandringham House,"['\n\n\n', ' is a ', ' in the parish of ', ', England. It is one of the ', ' of ', ', whose father, ', ', and grandfather, ', ', both died there. The house stands in a 20,000-acre (8,100\xa0ha) estate in the ', '. The house is listed as ', ' and the landscaped gardens, park and woodlands are on the ', '.  \n', 'The site has been occupied since ', ' times, when a large ', ' was constructed. This was replaced in 1771 by a ', ' mansion for the owners, the Hoste Henleys. In 1836 Sandringham was bought by John Motteux, a London merchant, who already owned property in Norfolk and ', "". Motteux had no direct heir, and on his death in 1843, his entire estate was left to Charles Spencer Cowper, the son of Motteux's close friend "", '. Cowper sold the Norfolk and the Surrey estates and embarked on rebuilding at Sandringham. He led an extravagant life, and by the early 1860s, the estate was mortgaged and he and his wife spent most of their time on the Continent.\n', 'In 1862, ', ', later created Lord Mount Temple, sold Sandringham and just under 8,000 acres of land to ', ', later King Edward VII, as a country home for him and his future wife, ', '. The price paid was £220,000, which came from the revenues of the ']"
Rochester Castle,"['\n\n', ' stands on the east bank of the ', ' in ', ', ', '. The 12th-century ', "" or stone tower, which is the castle's most prominent feature, is one of the best preserved in England or France.\n"", 'Situated on the ', ' and ', "", Rochester served as a strategically important royal castle. During the late medieval period it helped protect England's south-east coast from invasion. The first castle at Rochester was founded in the aftermath of the "", '. It was given to ', ', probably by his half-brother ', '. During the ', ' over the succession to the English throne, Odo supported ', "", the Conqueror's eldest son, against "", '. It was during this conflict that the castle first saw military action; the city and castle were besieged after Odo made Rochester a headquarters for the rebellion. After the garrison capitulated, this first castle was abandoned.\n', 'Between 1087 and 1089, Rufus asked ', ', ', "", to build a new stone castle at Rochester. He established the current extent of the castle. Though much altered through the centuries, some parts of Gundulf's work survive. In 1127 King "", ' granted the castle to the ', ' in perpetuity. ', ' built the massive keep that still dominates the castle today. Throughout the 12th\xa0century the castle remained in the custody of the archbishops.\n']"
Saint Fin Barre's Cathedral,"['\n\n\n', ' (', ': ', ') is a ', ' three-', ' ', ' ', ' in the city of ', '. It is located on the south bank of the ', ' and dedicated to ', ', ', ' of the city. Formerly the sole cathedral of the ', ', it is now one of three ', ' in the ', ' in the ', '. Christian use of the site dates back 7th-century AD when, according to local lore, Finbarr of Cork founded a ', '. The original building survived until the 12th century, when it either fell into disuse or was destroyed during the ', '. Around 1536, during the ', ', the cathedral became part of the ', ', later known as the Church of Ireland. The previous building was constructed in the 1730s, but was widely regarded as plain and featureless.\n', ""The cathedral's demolition and rebuild was commissioned in the mid-19th century by an ""]"
Rosetta Stone,"['\n', 'The ', ' is a ', ' composed of ', ' inscribed with three versions of a ', ' issued in ', ', in 196 BC during the ', ' on behalf of King ', '. The top and middle texts are in ', ' using ', ' and ', ' scripts respectively, while the bottom is in ', '. The decree has only minor differences between the three versions, making the Rosetta Stone key to ']"
Quiriguá,"['\n', ' (', ') is an ancient ', ' ', ' in the ', ' of ', ' in south-eastern ', '. It is a medium-sized site covering approximately 3 square kilometres (1.2\xa0sq\xa0mi) along the lower ', ',', ' with the ceremonial center about 1\xa0km (0.6\xa0mi) from the north bank.', ' During the ', ' (AD\xa0200–900), Quiriguá was situated at the juncture of several important ', '. The site was occupied by 200, construction on the ', ' had begun by about 550, and an explosion of grander construction started in the 8th\xa0century. All construction had halted by about 850, except for a brief period of reoccupation in the Early ', ' (', '.\xa0900\xa0– ', '.\xa01200). Quiriguá shares its architectural and sculptural styles with the nearby Classic Period city of ', ', with whose history it is closely entwined.', '\n', ""Quiriguá's rapid expansion in the 8th century was tied to king "", ""'s military victory over Copán in 738. When the greatest king of Copán, ""]"
Roman temple of Bziza,"['The ', '  is a well-preserved first century AD building dedicated to ', ', a personification of the ', ' in the ', '. This ', ' lends the modern ', ' town of ', ' its current name as Bziza is a corruption of ', ' meaning the house or temple of Azizos. Azizos is identified as ', ' by ']"
Pyramid of Unas,"['\n\n', '\nThe ', ' (', ': ', ' ""Beautiful are the places of Unas"") is a smooth-sided pyramid built in the ', ' for the Egyptian pharaoh ', ', the ninth and final king of the ', '.', ' It is the smallest ', ' pyramid, but significant due to the discovery of ', "", spells for the king's afterlife incised into the walls of its subterranean chambers. Inscribed for the first time in Unas's pyramid, the tradition of "", ' carried on in the pyramids of subsequent rulers, through to the end of the Old Kingdom, and into the ', ' through the ', ' that form the basis of the ']"
Pyramid of Nyuserre,"['The ', ' (', ': ', ', meaning ""Enduring are the places of Nyuserre"") is a mid-25th-century BC ', ' complex built for the Egyptian ', ' ', ' of the ', '.', ' During his reign, Nyuserre had the unfinished monuments of his father, ', ', mother, ', ', and brother, ', ', completed, before commencing work on his personal pyramid complex. He chose a site in the ', ' between the complexes of ', ' and ', ', which, restrictive in area and terrain, economized the costs of labour and material. Nyuserre was the last king to be entombed in the necropolis; his successors chose to be buried elsewhere. His monument encompasses a main pyramid, a ', "", a valley temple on Abusir Lake, a causeway originally intended for Neferirkare's monument, and a cult pyramid.\n"", 'The main pyramid had a stepped core built from rough-cut limestone and encased in fine ', "" limestone. The casing was stripped down by stone thieves, leaving the core exposed to the elements and further human activity, which have reduced the once nearly 52\xa0m (171\xa0ft; 99\xa0cu) tall pyramid to a mound of ruins, with a substructure that is dangerous to enter due to the risk of cave-ins. Adjoining the pyramid's east face is the mortuary temple with its unusual configuration and features. Replacing the usual T-shape plan, the mortuary temple has an L-shape; an alteration required due to the presence of "", ' to the east. It debuted the ', ', a square room with a single column, which became a standard feature of later monuments. It also contains an unexplained square platform which has led archaeologists to suggest that there may be a nearby obelisk ', '. This is unusual as obelisks were central features of ']"
Pyramid of Neferirkare,"['The ', ' (', ': ', ' ""the ', ' of Neferirkare""', ') was built for the ', ' pharaoh ', ' in the 25th century BC.', ' It was the tallest structure on the highest site at the necropolis of ', ', found between ', ' and ', ', and still towers over the necropolis. The pyramid is also significant because its excavation led to the discovery of the ']"
Porlock Stone Circle,"['\n\n', ' is a ', ' located on ', ', near the village of ', ' in the ', ' ', ' county of ', '. The Porlock ring is part of a tradition of stone circle construction that spread throughout much of Britain, Ireland, and ', ' during the ', ' and ', ', over a period between 3300 and 900 ', '. The purpose of such monuments is unknown, although archaeologists speculate that the stones represented ', "" entities for the circles' builders.\n"", 'Although Exmoor witnessed the construction of many monuments during the Bronze Age, only two stone circles survive in this area, the other being ', '. The Porlock circle is about 24 metres (79 feet) in diameter and contains thirteen ', ' sandstone rocks; there may originally have been more. Directly to the north-east of the circle is a ', ' connected to a linear stone row. No evidence has been found that allows for ', "" of the monument's construction, although archaeologists have suggested that the cairn dates from the Early Bronze Age, the circle being a Middle Bronze Age addition.\n"", 'A small lead wheel found inside Porlock Stone Circle suggests that the site was visited during the ', ' period. The site was rediscovered in the 1920s and since then a variety of stones have been added to it; its current appearance is a composite of prehistoric and modern elements. In 1928 the site was surveyed and ', ' by the archaeologist ']"
Pioneer Helmet,"['\n\n\n', 'The ', ' (also known as the ', ' or ', ') is an ', ' ', ' from the late seventh century found in ', ', United Kingdom. It was discovered during a March 1997 excavation before the land was to be mined for gravel and was part of the grave of a young man. Other objects in the grave, such as a ', ' and a ', ' sword, suggest that it was the ', ' of a high-status warrior.\n', 'The sparsely decorated nature of the helmet, a utilitarian iron fighting piece, belies its rarity. It is one of just six Anglo-Saxon helmets yet discovered, joined by finds from ', ', ', ', ', ', ', ' and ', '; its basic form is nearly identical to that of the richer Coppergate helmet found in York. Like these, the Pioneer Helmet is an example of the ""crested helmets"" that flourished in England and Scandinavia from the sixth through eleventh centuries.\n', 'The distinctive feature of the helmet is the boar mounted atop its ', '. ', ' are a staple of Anglo-Saxon imagery, evidence of a ', ' in which the boar invoked the protection of the gods. The Pioneer Helmet is one of three—together with the Benty Grange helmet and the detached ']"
Peveril Castle,"['\n', ' (also ', ' or ', ')', ' is a ruined 11th-century castle overlooking the village of ', ' in the English county of ', '. It was the main settlement (or ', ') of the ', ' of ', ', known as the ', ',', ' and was founded some time between the ', ' of 1066 and its first recorded mention in the ', ' of 1086, by Peverel, who held lands in ', ' and Derbyshire as a ', ' of the king. The town became the economic centre of the barony. The castle has views across the ', ' and ']"
Pyramid of Sahure,"['\n', 'The ', ' (', ': ', ', ', ""'Rising of the "", "" of Sahure') is a "", ' built in the late 26th to 25th century BC for the ', ' pharaoh ', ' of the ', '.', "" It introduced a period of pyramid building by Sahure's successors in "", ', on a location earlier used by ', ' for his ', '. The site was first thoroughly excavated by ', ' between March 1907 and 1908, who wrote the standard work ', ' (English: ', ') between 1910 and 1913.\n', ""The pyramid complex's layout was adopted by succeeding kings of the Fifth and "", ', marking a milestone in pyramid complex construction. Compared to the preceding ', ', the immensity of the constructions was dramatically reduced but, in tandem, the ']"
Pennsylvania State Capitol,"['The ', ' is the ', ' for the U.S. state of ', ' located in ', ' ', ' which was designed by architect ', ' in 1902 and completed in 1906 in a ', ' style with decorative ', ' themes throughout. The capitol houses the legislative chambers for the ', ', made up of the ', ' and the ', ', and the Harrisburg chambers for the ', ' and ', ' Courts of Pennsylvania, as well as the offices of the ', ' and the ', '. It is also the main building of the ']"
Palladian architecture,"['\n', ' is a European ', ' derived from and inspired by the designs of the ', ' architect ', "" (1508–1580). What is recognised as Palladian architecture today is an evolution of his original concepts. Palladio's work was strongly based on the symmetry, perspective, and values of the formal classical temple architecture of the "", ' and ', '. From the 17th century Palladio\'s interpretation of this classical architecture was adapted as the style known as ""Palladianism"". It continued to develop until the end of the 18th century.\n', 'In ', ', Palladianism was briefly in vogue during the 17th century, but its flowering was cut short by the onset of the ', ' and the imposition of austerity which followed. In the early 18th century it returned to fashion, not only in England but also, directly influenced from Britain, in ', '. Count ', ' may have written to ', ' from Berlin that he was recommending to ', ' the adoption in Prussia of the architectural style Burlington had introduced in England, but ', ""'s opera house on the "", "", based on Campbell's "", ', had been constructed from 1741. Later in the century, when the style was falling from favour in Europe, it had a surge in popularity throughout the British colonies in North America, highlighted by examples such as ', ' in South Carolina, the ', ' in ', ', the Morris-Jumel Mansion in ', ', the ']"
Palace of Queluz,"['The ', ' (', ': ', ', ', ') is an 18th-century palace located at ', ', a city of the ', ', in the ', ', on the ', '. One of the last great ', ' buildings to be designed in Europe,', ' the palace was conceived as a summer retreat for ', ', later to become husband and then ', ' to his own niece, Queen ', "". It served as a discreet place of incarceration for Queen Maria as her descent into madness continued in the years following Dom Pedro's death in 1786. Following the destruction by fire of the "", ' in 1794, Queluz Palace became the official residence of the Portuguese ', ' ', ', and his family and remained so until the royal family fled to the ', ' in 1807 following the French ', '.', '\n', 'Work on the palace began in 1747 under Portuguese architect ']"
"Old Church of St Nidan, Llanidan","['\n\n', 'The ', ' is a ', ' in the community of ', ', in ', ', ', ', close to the ', '. The first church on the site was established in the 7th century by ', ', the ', ' of the monastery at ', ', Anglesey, but the oldest parts of the present structure, are now closed and partly ruined, date from the 14th century.  In about 1500 the church was enlarged by the addition of a second ', ' on the north side, separated from the earlier nave by an ', ' of six arches.  During 1839 till 1843 ', ' was built nearby to serve the local community, partly due to the cost of repairing the old church. Much of the building was subsequently demolished, leaving only part of the western end and the central arcade.  The decision was condemned at the time by ', ', a clergyman and antiquarian, who lamented the ""melancholy fate"" of what he called ""one of the largest and most important [churches] in the island of Anglesey"".', ' Other appreciative comments have been made about the church both before and after its partial demolition.\n', 'After that a new church was opened, the old church was used as a chapel for funerals for a period of time. It has been restored by the owners of the adjoining house, ', ', and is occasionally open to the public. The remaining parts of the church are a ', ', a national designation given to ""particularly important buildings of more than special interest"",', ' in particular because St Nidan\'s is regarded as ""a good example of a simple medieval rural church, enriched by 15th-century additions"".', '\n']"
Old Pine Church,"['\n\n', ', also historically known as ', ', ', ', and ', ', is a mid-19th century church located near to ', ', ', ', ', '. It is among the earliest extant log churches in ', ', along with ', ' and ']"
Norton Priory,"['\n', ' is a historic site in ', ', ', ', ', ', England, comprising the remains of an ', ' complex dating from the 12th to 16th\xa0centuries, and an 18th-century country house; it is now a museum. The remains are a ', ' and are recorded in the ', ' as a designated Grade\xa0I ', '.  They are considered to be the most important monastic remains in Cheshire.\n', 'The ', ' was established as an ', ' foundation in the 12th\xa0century, and was raised to the status of an abbey in 1391. The abbey was closed in 1536, as part of the ', '. Nine years later the surviving structures, together with the ', ' of Norton, were purchased by Sir\xa0', ', who built a ', ' house on the site, incorporating part of the abbey. This was replaced in the 18th\xa0century by a ', ' house. The Brooke family left the house in 1921, and it was partially demolished in 1928. In 1966 the site was given in trust for the use of the general public.\n', 'Excavation of the site began in 1971, and became the largest to be carried out by modern methods on any European monastic site. It revealed the foundations and lower parts of the walls of the monastery buildings and the abbey church. Important finds included: a ', ' doorway; a finely carved ', '; a floor of ', ' tiles, the largest floor area of this type to be found in any modern excavation; the remains of the ']"
Palmyra,"['\n', '\n', ' (', '; ', ': ', '\u200e (', ') ', '; ', ': ', ' ', ') is an ancient city in present-day ', ', ', '. Archaeological finds date back to the ', ' period, and documents first mention the city in the early second millennium BC. Palmyra changed hands on a number of occasions between different empires before becoming a subject of the ', ' in the first century AD.\n', 'The city grew wealthy from ', '; the Palmyrenes became renowned as merchants who established colonies along the ', "" and operated throughout the Roman Empire. Palmyra's wealth enabled the construction of monumental projects, such as the "", ', the ', ', and the distinctive tower tombs. Ethnically, the Palmyrenes combined elements of ', ', ']"
Palazzo Pitti,"['\n', 'The ', ' (', '), in English sometimes called the ', ', is a vast, mainly ', ', ', ' in ', ', ', '.  It is situated on the south side of the ', ', a short distance from the ', '. The core of the present ', ' dates from 1458 and was originally the town residence of ', ',', ' an ambitious Florentine banker.\n', 'The palace was bought by the ', ' in 1549 and became the chief residence of the ruling families of the ', '. It grew as a great treasure house as later generations amassed paintings, plates, jewelry and luxurious possessions.\n', 'In the late 18th century, the palazzo was used as a power base by ', ' and later served for a brief period as the principal royal palace of the newly united Italy. The palace and its contents were donated to the Italian people by ', ' in 1919.\n', 'The palazzo is now the largest museum complex in Florence. The principal palazzo block, often in a building of this design known as the corps de logis, is 32,000 square metres.']"
Oregon State Capitol,"['\n\n', 'The ', ' is the building housing the ', ' and the offices of the ', ', ', ', and ', ' of the ', ' of ', '. It is located in the ', ', ', '. Constructed from 1936 to 1938 and expanded in 1977, the current building is the third to house the ', ' in Salem. The first two capitols in Salem were destroyed by fire, one in 1855 and the other in 1935.\n', 'New York architects ', "" conceived the current structure's "", ' ', ' design in association with ', '. Much of the interior and exterior is made of ', '. The Oregon State Capitol was placed on the ', ' on June 29, 1988.', '\n', ""The federal government's ""]"
"Nine Stones, Winterbourne Abbas","['\n\n', 'The ', ', also known as the ', ', the ', ', or ', ', is a ', ' located near to the village of ', ' in the ', ' ', ' county of ', '. ', ' believe that it was likely erected during the ']"
Melbourne Castle,"['\n\n', ' was a ', ' castle in ', '. It was built on the site of an earlier royal ', ' that had provided accommodation for noblemen hunting in a nearby royal park in the reign of ', '. Construction of the castle was started in 1311 by ', ', and continued until 1322, shortly before his execution, but the work was never fully completed.\n', 'From the early 14th century, Melbourne Castle was mainly in the possession of the ', ' and ', ' or ', '. Improvements and repairs were made, particularly by ', ', and the building was in generally good condition throughout the fifteenth and early sixteenth centuries. ', ', was kept at Melbourne for 19 years after his capture at the ', ' in 1415, and the castle was considered as a possible prison for ', ', although events led to her incarceration elsewhere.\n', 'The castle was in decline by the end of the reign of ', '. Although the stonework was sound, minimal maintenance had led to significant deterioration of other parts of the structure. The manor was purchased in 1604 by ', ', who had ', ' in nearby ', '. The Melbourne property was then demolished and used as a source for building materials. All that remains of Melbourne Castle today is a section of wall about 15\xa0m (50\xa0ft) long and 4\xa0m (13\xa0ft) high and some foundations; nothing is known of the internal layout of the former building. The ', ' are ']"
Nelson's Pillar,"['\n', '\n\n', ' (also known as the ', ' or simply ', ') was a large granite column capped by a statue of ', ', built in the centre of what was then Sackville Street (later renamed ', ') in ', ', Ireland. Completed in 1809 when Ireland was part of the ', ', it survived until March 1966, when it was severely damaged by explosives planted by ', '. Its remnants were later destroyed by the ']"
More Hall Annex,"['\n\n', 'The ', ', formerly the ', ', was a building on the campus of the ', ' (UW) in ', ', Washington, United States, that once housed a functional ', '. It was inaugurated in 1961 and shut down in 1988, operating at a peak of 100 ', ' thermal (kWt), and was officially decommissioned in 2007.\n', 'The reactor was housed in a ', ' building designed in the ', ' by UW faculty members. They designed the reactor room with large windows that allowed observation from the outside, in an attempt to demonstrate the safety of nuclear energy.\n', 'The Nuclear Reactor Building was added to the ', "" in 2009, after a campaign led by an architecture student in response to the proposed demolition of the building. A later demolition plan prompted a lawsuit from preservation groups, which ended with a court ruling exempting the building from the city's landmarks-preservation ordinance. While this decision was eventually overturned, the university demolished the building in July 2016 and replaced it with a new "", ' building that opened in February 2019.\n', 'The building housed an ', ' with an initial output of 10 ', ' thermal (kWt), later increased to 100 kWt in 1967. It used ', ' as fuel and was cooled by water.', "" The reactor's chamber, placed on the lower floor of the facility, was 15\xa0ft (4.6\xa0m) high, 20\xa0ft (6.1\xa0m) long, and 19\xa0ft (5.8\xa0m) wide."", ' During its 27-year lifespan, the reactor operated for the equivalent of 140 days, running for some days at half power and for as little as 10 minutes.', '\n']"
